sample_name,b_grid_name,o_grid_name,t_grid_name
"mini_ideal",8,12,"'linspace(0.3, 0.8, 3)'"
"small_ideal",8,12,"'linspace(0.2, 0.5, 20)'"
"bigger_ideal",40,42,"'linspace(0.2, 0.5, 30)'"
"80_80_20_short",80,80,"'linspace(0.25, 0.5, 20)'"
"80_80_20_longer",80,80,"'linspace(0.25, 0.7, 20)'"
"80_80_30_short",80,80,"'linspace(0.25, 0.5, 30)'"
"80_80_30_longer",80,80,"'linspace(0.25, 0.7, 30)'"
"300grand",80,80,"'linspace(0.25, 0.8, 50)'"
"300grand_long",80,80,"'linspace(0.2, 1, 50)'"
"400grand",100,80,"'linspace(0.25, 0.8, 50)'"
"TFA_MET_grid1",40,12,"[0.5,0.7]"
"80_80_very_short",80,80,"'linspace(0.2, 0.4, 10)'"
"long_fewer_points",70,70,"'linspace(0.25, 0.65, 20)'"
"grid_test1",20,20,"'linspace(0.25, 0.65, 20)'"
"grid_test2",40,20,"'linspace(0.25, 0.65, 20)'"
"grid_test3",20,40,"'linspace(0.25, 0.65, 20)'"
"grid_test4",20,20,"'linspace(0.25, 0.65, 40)'"
"grid_test5",40,40,"'linspace(0.25, 0.65, 20)'"
"grid_test6",40,40,"'linspace(0.25, 0.65, 40)'"
"50K_grid1",50,50,"'linspace(0.25, 0.65, 20)'"
"50K_grid2",20,50,"'linspace(0.25, 0.65, 50)'"
"50K_grid3",50,20,"'linspace(0.25, 0.65, 50)'"
"100K_grid1",100,50,"'linspace(0.25, 0.65, 20)'"
"100K_grid2",50,100,"'linspace(0.25, 0.65, 20)'"
"100K_grid3",100,20,"'linspace(0.25, 0.65, 50)'"
"100K_grid4",20,100,"'linspace(0.25, 0.65, 50)'"
"100K_grid5",50,20,"'linspace(0.25, 0.65, 100)'"
"100K_grid6",20,50,"'linspace(0.25, 0.65, 100)'"
"100K_grid7",50,50,"'linspace(0.25, 0.65, 40)'"
"100K_grid8",50,50,"'linspace(0.2, 0.8, 40)'"
"100K_grid9",50,50,"'linspace(0.2, 0.4, 40)'"
"100K_grid10",50,50,"'linspace(0.25, 0.35, 40)'"
"50K_grid4",50,50,"'linspace(0.25, 0.35, 20)'"
"50K_grid5",50,50,"'linspace(0.25, 0.35, 20)'"
"50_50_electrostatic",50,50,"'linspace(0.25, 0.75, 20)'"
"small_electrostatic",40,40,"'linspace(0.25, 0.75, 20)'"
"50_50_20",50,50,"'linspace(0.25, 0.8, 20)'"
"50_50_40",50,50,"'linspace(0.25, 0.8, 40)'"
"50_50_20_mini",50,50,"'linspace(0.25, 0.45, 20)'"
"50_50_10",50,50,"'linspace(0.25, 0.35, 10)'"
"pyridine_test",50,50,"linspace(0.6,0.7, 20)"
"pyridine_mini",50,50,"linspace(0.6,1.0, 20)"
"pyridine_ex",20,20,"linspace(0.6,0.7, 10)"
"80_80_10",80,80,"'linspace(0.25, 0.4, 10)'"
"pyridine_test1",50,50,"linspace(0.55,0.63, 10)"
"pyridine_test2",50,50,"linspace(0.35,0.85, 20)"
"pyridine_test3",50,50,"linspace(0.35,0.85, 40)"
"pyridine_test4",70,70,"linspace(0.45,1.0, 30)"
"pyridine_test5",70,70,"linspace(0.45,0.7, 30)"
"pyridine_test6",80,162,"linspace(0.5,0.7, 10)"
"80_80_very_short2",60,60,"'linspace(0.2, 0.4, 10)'"
"faktor5",80,80,"'linspace(0.2, 0.4, 10)'"
"faktor02",80,80,"'linspace(0.2, 0.4, 10)'"
"bigger_ideal_038",40,42,"'linspace(0.2, 0.5, 30)'"
"bigger_ideal_5",40,42,"'linspace(0.2, 0.5, 30)'"
"bigger_ideal_02",40,42,"'linspace(0.2, 0.5, 30)'"
"bigger_ideal_50",40,42,"'linspace(0.2, 0.5, 30)'"
"bigger_ideal_500",40,42,"'linspace(0.2, 0.5, 30)'"
"bigger_ideal_1000",40,42,"'linspace(0.2, 0.5, 30)'"
"bigger_ideal_5000",40,42,"'linspace(0.2, 0.5, 30)'"
"alternative",50,80,"'linspace(0.2,0.7,20)'"
"cartesian_80_80_very_short",80,80,"'linspace(0.2, 0.4, 10)'"
